id,x,y,circle_id,place_situation,interaction_type,reason_in,with_others_ct,others_phone_in
1,15.5,23.75,1,walking,call,1,0,0
2,15.5,23.75,1,walking,text_email,1,0,0
3,15.5,23.75,1,walking,text_email,1,0,0
4,15.5,23.75,1,walking,text_email,1,0,0
5,15.5,23.75,1,walking,other_app,1,0,0
6,15.5,23.75,1,walking,social_media,1,0,0
7,15.5,23.75,1,walking,social_media,1,0,0
8,15.5,23.75,1,walking,text_email_stefanie,1,0,0
9,15.5,23.75,1,walking,text_email,1,0,0
10,15.5,23.75,1,walking,thought_rang,0,0,0
11,15.5,23.75,1,walking,other_app,1,0,0
12,15.5,23.75,1,walking,other_app,1,0,0
13,15.5,23.75,1,walking,text_email,1,0,0
14,15.5,23.75,1,walking,text_email,1,0,0
15,15.5,23.75,1,walking,text_email,1,0,0
16,15.5,23.75,1,walking,social_media,1,0,0
17,15.5,23.75,1,walking,social_media,1,2,0
18,15.5,23.75,1,walking,social_media,1,2,0
19,15.5,23.75,1,walking,no_report,2,0,0
20,15.5,23.75,1,walking,no_report,2,0,0
21,15.5,23.75,1,walking,time,1,0,0
22,15.5,23.75,1,walking,time,1,0,0
23,15.5,23.75,1,walking,text_email,2,0,0
24,15.5,23.75,1,walking,text_email,1,0,0
25,15.5,23.75,1,walking,text_email,1,0,0
26,15.5,23.75,1,walking,no_report,2,0,0
27,15.5,23.75,1,walking,no_report,2,0,0
28,15.5,23.75,1,walking,call,1,0,0
29,15.5,23.75,1,walking,other_app,1,0,0
30,15.5,23.75,1,walking,other_app,1,0,0
31,15.5,23.75,1,walking,social_media,1,0,0
32,15.5,23.75,1,walking,text_email,1,0,0
33,15.5,23.75,1,walking,call,1,0,0
34,15.5,23.75,1,walking,time,1,0,0
35,15.5,23.75,1,walking,text_email,2,0,0
36,15.5,23.75,1,walking,thought_rang,0,0,0
37,15.5,23.75,1,walking,text_email,1,0,0
38,15.5,23.75,1,walking,text_email,1,0,0
39,15.5,23.75,1,walking,text_email,1,0,0
40,15.5,23.75,1,walking,social_media,1,0,0
41,15.5,23.75,1,walking,social_media,1,0,0
42,15.5,23.75,1,walking,social_media,1,1,0
43,15.5,23.75,1,walking,weather,1,1,0
44,15.5,23.75,1,walking,social_media,1,1,0
45,15.5,23.75,1,walking,text_email_stefanie,1,0,0
46,15.5,23.75,1,walking,text_email,1,0,0
47,15.5,23.75,1,walking,text_email,1,0,0
48,15.5,23.75,1,walking,text_email,1,0,0
49,15.5,23.75,1,walking,text_in_room,1,0,0
50,15.5,23.75,1,walking,text_email,2,0,0
51,15.5,23.75,1,walking,text_email,1,1,0
52,15.5,23.75,1,walking,social_media,1,0,0
53,15.5,23.75,1,walking,social_media,1,0,0
54,15.5,23.75,1,walking,social_media,1,0,0
55,15.5,23.75,1,walking,time,1,0,0
56,15.5,23.75,1,walking,time,1,0,0
57,15.5,23.75,1,walking,thought_rang,0,0,0
58,15.5,23.75,1,walking,no_report,2,0,0
59,15.5,23.75,1,walking,text_email_stefanie,1,0,0
60,15.5,23.75,1,walking,social_media,1,0,0
61,15.5,23.75,1,walking,social_media,1,0,0
62,15.5,23.75,1,walking,text_email,1,0,0
63,15.5,23.75,1,walking,social_media,2,0,0
64,15.5,23.75,1,walking,text_in_room,1,0,0
65,15.5,23.75,1,walking,text_in_room,1,1,0
66,15.5,23.75,1,walking,text_email,1,0,0
67,15.5,23.75,1,walking,text_email,1,0,0
68,15.5,23.75,1,walking,text_email,1,0,0
69,15.5,23.75,1,walking,text_email,1,0,0
70,23.25,62,2,working,text_email,2,0,0
71,23.25,62,2,working,text_email,2,2,0
72,23.25,62,2,working,text_email,2,2,0
73,23.25,62,2,working,social_media,2,2,0
74,23.25,62,2,working,social_media,2,0,0
75,23.25,62,2,working,social_media,1,0,0
76,23.25,62,2,working,social_media,2,0,0
77,23.25,62,2,working,social_media,2,0,0
78,23.25,62,2,working,turned_face_down,0,0,0
79,23.25,62,2,working,call,2,1,0
80,23.25,62,2,working,call,2,1,0
81,23.25,62,2,working,text_email,2,0,0
82,23.25,62,2,working,text_email,2,0,0
83,23.25,62,2,working,social_media,1,0,0
84,23.25,62,2,working,social_media,1,1,0
85,23.25,62,2,working,social_media,1,1,0
86,23.25,62,2,working,charge,1,0,0
87,23.25,62,2,working,turned_face_down,0,0,0
88,23.25,62,2,working,text_email,2,0,0
89,23.25,62,2,working,social_media,2,0,0
90,23.25,62,2,working,social_media,2,0,0
91,23.25,62,2,working,social_media,1,0,0
92,23.25,62,2,working,thought_rang,0,0,0
93,23.25,62,2,working,text_in_room,1,5,0
94,23.25,62,2,working,text_in_room,2,5,0
95,23.25,62,2,working,text_in_room,1,5,0
96,23.25,62,2,working,social_media,1,5,0
97,23.25,62,2,working,social_media,1,5,0
98,23.25,62,2,working,text_in_room,1,5,0
99,23.25,62,2,working,text_in_room,2,5,0
100,23.25,62,2,working,social_media,2,0,0
101,23.25,62,2,working,text_email,2,0,0
102,23.25,62,2,working,weather,1,0,0
103,23.25,62,2,working,other_app,1,1,1
104,23.25,62,2,working,other_app,1,1,1
105,23.25,62,2,working,other_app,1,0,0
106,23.25,62,2,working,charge,1,0,0
107,23.25,62,2,working,turned_face_down,0,0,0
108,23.25,62,2,working,thought_rang,0,0,0
109,23.25,62,2,working,text_email,1,0,0
110,23.25,62,2,working,text_email,2,2,0
111,23.25,62,2,working,text_email,1,3,0
112,23.25,62,2,working,other_app,1,3,0
113,23.25,62,2,working,other_app,1,3,0
114,23.25,62,2,working,time,1,3,0
115,23.25,62,2,working,charge,1,3,0
116,23.25,62,2,working,text_in_room,1,1,0
117,23.25,62,2,working,social_media,2,0,0
118,23.25,62,2,working,social_media,2,0,0
119,23.25,62,2,working,turned_face_down,0,0,0
120,23.25,62,2,working,text_in_room,2,0,0
121,23.25,62,2,working,text_in_room,2,0,0
122,23.25,62,2,working,charge,1,0,0
123,23.25,62,2,working,photo_postcards,1,1,0
124,23.25,62,2,working,photo_postcards,1,1,0
125,23.25,62,2,working,photo_postcards,1,1,0
126,23.25,62,2,working,text_email,2,0,0
127,23.25,62,2,working,text_email,1,1,1
128,23.25,62,2,working,text_email,1,1,1
129,23.25,62,2,working,text_email,1,1,1
130,23.25,62,2,working,photo_postcards,0,0,0
131,23.25,62,2,working,photo_postcards,0,0,0
132,23.25,62,2,working,photo_postcards,0,0,0
133,23.25,62,2,working,text_email,2,0,0
134,23.25,62,2,working,text_email_stefanie,1,0,0
135,23.25,62,2,working,text_email_stefanie,1,0,0
136,41.5,30.75,3,waiting,social_media,1,0,0
137,41.5,30.75,3,waiting,social_media,1,0,0
138,41.5,30.75,3,waiting,social_media,1,0,0
139,41.5,30.75,3,waiting,social_media,1,0,0
140,41.5,30.75,3,waiting,time,1,0,0
141,41.5,30.75,3,waiting,text_email,1,0,0
142,41.5,30.75,3,waiting,text_email,1,0,0
143,41.5,30.75,3,waiting,social_media,1,0,0
144,41.5,30.75,3,waiting,social_media,1,0,0
145,41.5,30.75,3,waiting,social_media,1,0,0
146,41.5,30.75,3,waiting,social_media,1,0,0
147,41.5,30.75,3,waiting,social_media,2,0,0
148,41.5,30.75,3,waiting,social_media,1,0,0
149,41.5,30.75,3,waiting,social_media,2,0,0
150,41.5,30.75,3,waiting,social_media,1,0,0
151,41.5,30.75,3,waiting,social_media,2,0,0
152,41.5,30.75,3,waiting,other_app,1,0,0
153,41.5,30.75,3,waiting,other_app,1,1,0
154,41.5,30.75,3,waiting,other_app,1,1,0
155,41.5,30.75,3,waiting,other_app,1,1,0
156,41.5,30.75,3,waiting,text_email,1,1,0
157,41.5,30.75,3,waiting,social_media,1,0,0
158,41.5,30.75,3,waiting,social_media,1,0,0
159,41.5,30.75,3,waiting,social_media,1,0,0
160,41.5,30.75,3,waiting,social_media,1,0,0
161,41.5,30.75,3,waiting,social_media,1,0,0
162,41.5,30.75,3,waiting,text_email_stefanie,1,0,0
163,41.5,30.75,3,waiting,time,1,0,0
164,41.5,30.75,3,waiting,weather,1,0,0
165,41.5,30.75,3,waiting,thought_rang,0,0,0
166,41.5,30.75,3,waiting,text_email,1,0,0
167,41.5,30.75,3,waiting,social_media,1,1,0
168,41.5,30.75,3,waiting,social_media,1,1,0
169,41.5,30.75,3,waiting,social_media,1,1,0
170,41.5,30.75,3,waiting,social_media,1,0,0
171,41.5,30.75,3,waiting,social_media,1,0,0
172,41.5,30.75,3,waiting,social_media,1,0,0
173,41.5,30.75,3,waiting,social_media,1,0,0
174,41.5,30.75,3,waiting,social_media,1,3,0
175,41.5,30.75,3,waiting,social_media,1,3,0
176,41.5,30.75,3,waiting,social_media,1,3,0
177,41.5,30.75,3,waiting,social_media,1,0,0
178,41.5,30.75,3,waiting,text_email,1,0,0
179,41.5,30.75,3,waiting,text_email,1,0,0
180,41.5,30.75,3,waiting,text_email,1,0,0
181,41.5,30.75,3,waiting,social_media,1,0,0
182,41.5,30.75,3,waiting,social_media,1,0,0
183,41.5,30.75,3,waiting,weather,1,0,0
184,41.5,30.75,3,waiting,text_in_room,1,2,0
185,41.5,30.75,3,waiting,other_app,1,2,0
186,41.5,30.75,3,waiting,other_app,1,2,0
187,41.5,30.75,3,waiting,social_media,1,0,0
188,41.5,30.75,3,waiting,social_media,1,0,0
189,41.5,30.75,3,waiting,social_media,1,0,0
190,41.5,30.75,3,waiting,social_media,1,0,0
191,41.5,30.75,3,waiting,social_media,1,0,0
192,41.5,30.75,3,waiting,social_media,1,0,0
193,41.5,30.75,3,waiting,social_media,1,0,0
194,41.5,30.75,3,waiting,social_media,1,0,0
195,41.5,30.75,3,waiting,text_email,1,0,0
196,41.5,30.75,3,waiting,text_email,1,0,0
197,41.5,30.75,3,waiting,no_report,2,0,0
198,41.5,30.75,3,waiting,text_email,1,0,0
199,41.5,30.75,3,waiting,no_report,2,0,0
200,41.5,30.75,3,waiting,text_email_stefanie,1,1,0
201,41.5,30.75,3,waiting,text_email,2,1,0
202,41.5,30.75,3,waiting,text_email,1,1,0
203,41.5,30.75,3,waiting,text_email,2,1,0
204,41.5,30.75,3,waiting,text_email,1,1,0
205,52,63.75,4,bathroom,weather,1,0,0
206,52,63.75,4,bathroom,social_media,1,0,0
207,52,63.75,4,bathroom,social_media,1,0,0
208,52,63.75,4,bathroom,text_email,1,0,0
209,52,63.75,4,bathroom,text_email,1,0,0
210,52,63.75,4,bathroom,social_media,1,0,0
211,52,63.75,4,bathroom,social_media,1,0,0
212,52,63.75,4,bathroom,weather,1,0,0
213,52,63.75,4,bathroom,text_email,1,0,0
214,52,63.75,4,bathroom,text_email,1,0,0
215,52,63.75,4,bathroom,time,1,0,0
216,52,63.75,4,bathroom,time,1,0,0
217,52,63.75,4,bathroom,social_media,1,0,0
218,52,63.75,4,bathroom,time,1,0,0
219,52,63.75,4,bathroom,social_media,1,0,0
220,52,63.75,4,bathroom,social_media,1,0,0
